Subject,Run,Event,Condition_HBMModel,Condition_JNeuroModel1,Condition_JNeuroModel2,Condition_JNeuroModel3,Condition_JNeuroModel4,Onsets(Scans),TrialDur,Onsets(Sec),Cov_PostProb_JNeuroModel1,Cov_PostProb_JNeuroModel3
1,2,3,4,5,6,7,8,9,10,11,12,
1031,1,1,4,1,1,,,0.2585,0,0.517,80,
1031,1,2,2,1,2,,,2.2715,0,4.543,50,
1031,1,3,1,1,3,,,4.284,0,8.568,80,
1031,1,4,1,1,4,,,6.297,0,12.594,94.12,94.12
1031,1,5,6,3,6,,,8.4265,0,16.853,,94.12
1031,1,6,8,5,8,,,9.5625,0,19.125,,
1031,1,7,4,1,1,,,10.456,0,20.912,80,
1031,1,8,2,1,2,,,11.8505,0,23.701,50,
1031,1,9,1,1,3,,,13.738,0,27.476,80,
1031,1,10,2,1,4,,,16.1265,0,32.253,50,50
1031,1,11,6,3,6,,,18.006,0,36.012,,50
1031,1,12,8,5,8,,,19.1415,0,38.283,,
1031,1,13,4,1,1,,,19.9095,0,39.819,80,
1031,1,14,1,1,2,,,22.549,0,45.098,94.12,
1031,1,15,1,1,3,,,25.0625,0,50.125,98.46,
1031,1,16,1,1,4,,,26.4575,0,52.915,99.61,99.61
1031,1,17,6,3,6,,,28.462,0,56.924,,99.61
1031,1,18,8,5,8,,,30.3405,0,60.681,,
1031,1,19,5,2,5,,,31.3515,0,62.703,,
1031,1,20,3,2,5,,,32.9965,0,65.993,,
1031,1,21,3,2,5,,,34.6415,0,69.283,,
1031,1,22,3,2,5,,,36.0365,0,72.073,,
1031,1,23,7,4,7,,,37.924,0,75.848,,
1031,1,24,8,5,8,,,39.185,0,78.37,,
1031,1,25,4,1,1,,,39.828,0,79.656,80,
1031,1,26,1,1,2,,,42.467,0,84.934,94.12,
1031,1,27,2,1,3,,,44.7305,0,89.461,80,
1031,1,28,2,1,4,,,47.3695,0,94.739,50,50
1031,1,29,6,3,6,,,49.257,0,98.514,,50
1031,1,30,8,5,8,,,51.136,0,102.272,,
1031,1,31,4,1,1,,,51.779,0,103.558,80,
1031,1,32,2,1,2,,,53.1735,0,106.347,50,
1031,1,33,1,1,3,,,55.562,0,111.124,80,
1031,1,34,1,1,4,,,57.8255,0,115.651,94.12,94.12
1031,1,35,6,3,6,,,59.713,0,119.426,,94.12
1031,1,36,8,5,8,,,62.093,0,124.186,,
1031,1,37,5,2,5,,,62.736,0,125.472,,
1031,1,38,3,2,5,,,64.749,0,129.498,,
1031,1,39,3,2,5,,,67.1375,0,134.275,,
1031,1,40,3,2,5,,,69.025,0,138.05,,
1031,1,41,7,4,7,,,71.029,0,142.058,,
1031,1,42,8,5,8,,,73.4095,0,146.819,,
1031,1,43,4,1,1,,,74.1775,0,148.355,80,
1031,1,44,1,1,2,,,76.3155,0,152.631,94.12,
1031,1,45,1,1,3,,,78.203,0,156.406,98.46,
1031,1,46,1,1,4,,,80.341,0,160.682,99.61,99.61
1031,1,47,6,3,6,,,81.477,0,162.954,,99.61
1031,1,48,8,5,8,,,83.857,0,167.714,,
1031,1,49,4,1,1,,,84.375,0,168.75,80,
1031,1,50,1,1,2,,,87.014,0,174.028,94.12,
1031,1,51,1,1,3,,,88.776,0,177.552,98.46,
1031,1,52,2,1,4,,,91.1645,0,182.329,94.12,94.12
1031,1,53,6,3,6,,,93.044,0,186.088,,94.12
1031,1,54,8,5,8,,,95.173,0,190.346,,
1031,1,55,4,1,1,,,95.9415,0,191.883,80,
1031,1,56,2,1,2,,,98.0795,0,196.159,50,
1031,1,57,1,1,3,,,100.468,0,200.936,80,
1031,1,58,2,1,4,,,101.988,0,203.976,50,50
1031,1,59,6,3,6,,,103.249,0,206.498,,50
1031,1,60,8,5,8,,,104.6275,0,209.255,,
1031,1,61,5,2,5,,,105.27,0,210.54,,
1031,1,62,3,2,5,,,106.665,0,213.33,,
1031,1,63,3,2,5,,,109.0535,0,218.107,,
1031,1,64,3,2,5,,,111.3165,0,222.633,,
1031,1,65,7,4,7,,,113.446,0,226.892,,
1031,1,66,8,5,8,,,114.582,0,229.164,,
1031,1,67,4,1,1,,,115.225,0,230.45,80,
1031,1,68,1,1,2,,,116.745,0,233.49,94.12,
1031,1,69,1,1,3,,,118.758,0,237.516,98.46,
1031,1,70,1,1,4,,,120.403,0,240.806,99.61,99.61
1031,1,71,6,3,6,,,121.7895,0,243.579,,99.61
1031,1,72,8,5,8,,,122.925,0,245.85,,
1031,2,1,5,2,5,,,0.259,0,0.518,,
1031,2,2,3,2,5,,,1.6535,0,3.307,,
1031,2,3,3,2,5,,,3.541,0,7.082,,
1031,2,4,3,2,5,,,5.679,0,11.358,,100
1031,2,5,7,4,7,,,8.059,0,16.118,,100
1031,2,6,8,5,8,,,9.6875,0,19.375,,
1031,2,7,4,1,1,,,10.2055,0,20.411,80,
1031,2,8,1,1,2,,,12.093,0,24.186,94.12,
1031,2,9,2,1,3,,,14.4815,0,28.963,80,
1031,2,10,1,1,4,,,16.494,0,32.988,94.12,94.12
1031,2,11,6,3,6,,,18.131,0,36.262,,94.12
1031,2,12,8,5,8,,,20.386,0,40.772,,
1031,2,13,4,1,1,,,21.154,0,42.308,80,
1031,2,14,1,1,2,,,23.5425,0,47.085,94.12,
1031,2,15,1,1,3,,,25.6805,0,51.361,98.46,
1031,2,16,1,1,4,,,27.568,0,55.136,99.61,99.61
1031,2,17,6,3,6,,,29.9485,0,59.897,,99.61
1031,2,18,8,5,8,,,32.078,0,64.156,,
1031,2,19,4,1,1,,,33.097,0,66.194,80,
1031,2,20,1,1,2,,,34.984,0,69.968,94.12,
1031,2,21,1,1,3,,,36.6295,0,73.259,98.46,
1031,2,22,1,1,4,,,38.2745,0,76.549,99.61,99.61
1031,2,23,6,3,6,,,39.9115,0,79.823,,99.61
1031,2,24,8,5,8,,,41.29,0,82.58,,
1031,2,25,5,2,5,,,42.183,0,84.366,,
1031,2,26,3,2,5,,,44.321,0,88.642,,
1031,2,27,3,2,5,,,45.9665,0,91.933,,
1031,2,28,3,2,5,,,47.979,0,95.958,,
1031,2,29,7,4,7,,,49.8585,0,99.717,,
1031,2,30,8,5,8,,,51.612,0,103.224,,
1031,2,31,4,1,1,,,52.3805,0,104.761,80,
1031,2,32,2,1,2,,,54.894,0,109.788,50,
1031,2,33,1,1,3,,,56.907,0,113.814,80,
1031,2,34,1,1,4,,,58.3015,0,116.603,94.12,94.12
1031,2,35,6,3,6,,,60.0635,0,120.127,,94.12
1031,2,36,8,5,8,,,62.444,0,124.888,,
1031,2,37,4,1,1,,,63.3375,0,126.675,80,
1031,2,38,2,1,2,,,65.108,0,130.216,50,
1031,2,39,1,1,3,,,67.747,0,135.494,80,
1031,2,40,2,1,4,,,69.142,0,138.284,50,50
1031,2,41,6,3,6,,,70.896,0,141.792,,50
1031,2,42,8,5,8,,,73.2755,0,146.551,,
1031,2,43,4,1,1,,,74.044,0,148.088,80,
1031,2,44,1,1,2,,,76.683,0,153.366,94.12,
1031,2,45,1,1,3,,,78.203,0,156.406,98.46,
1031,2,46,1,1,4,,,80.341,0,160.682,99.61,99.61
1031,2,47,6,3,6,,,82.2205,0,164.441,,99.61
1031,2,48,8,5,8,,,83.356,0,166.712,,
1031,2,49,4,1,1,,,84.1245,0,168.249,80,
1031,2,50,1,1,2,,,86.7635,0,173.527,94.12,
1031,2,51,2,1,3,,,88.776,0,177.552,80,
1031,2,52,2,1,4,,,90.171,0,180.342,50,50
1031,2,53,6,3,6,,,92.551,0,185.102,,50
1031,2,54,8,5,8,,,93.6865,0,187.373,,
1031,2,55,4,1,1,,,94.5805,0,189.161,80,
1031,2,56,1,1,2,,,97.2195,0,194.439,94.12,
1031,2,57,1,1,3,,,99.3575,0,198.715,98.46,
1031,2,58,2,1,4,,,101.4955,0,202.991,94.12,94.12
1031,2,59,6,3,6,,,102.8815,0,205.763,,94.12
1031,2,60,8,5,8,,,104.761,0,209.522,,
1031,2,61,5,2,5,,,105.2785,0,210.557,,
1031,2,62,3,2,5,,,106.924,0,213.848,,
1031,2,63,3,2,5,,,108.3185,0,216.637,,
1031,2,64,3,2,5,,,110.9575,0,221.915,,
1031,2,65,7,4,7,,,112.2185,0,224.437,,
1031,2,66,8,5,8,,,114.0975,0,228.195,,
1031,2,67,4,1,1,,,114.6155,0,229.231,80,
1031,2,68,2,1,2,,,117.004,0,234.008,50,
