Subject,Run,Event,Condition_HBMModel,Condition_JNeuroModel1,Condition_JNeuroModel2,Condition_JNeuroModel3,Condition_JNeuroModel4,Onsets(Scans),TrialDur,Onsets(Sec),Cov_PostProb_JNeuroModel1,Cov_PostProb_JNeuroModel3
1,2,3,4,5,6,7,8,9,10,11,12,
1031,1,1,4,1,1,,,0.26,0,0.52,0,
1031,1,2,2,1,2,,,2.27,0,4.54,0,
1031,1,3,1,1,3,,,4.28,0,8.57,0,
1031,1,4,1,1,4,,,6.3,0,12.59,0,94.12
1031,1,5,6,3,6,,,8.43,0,16.85,0,94.12
1031,1,6,8,5,8,,,9.56,0,19.13,0,
1031,1,7,4,1,1,,,10.46,0,20.91,0,
1031,1,8,2,1,2,,,11.85,0,23.7,0,
1031,1,9,1,1,3,,,13.74,0,27.48,0,
1031,1,10,2,1,4,,,16.13,0,32.25,0,50
1031,1,11,6,3,6,,,18.01,0,36.01,0,50
1031,1,12,8,5,8,,,19.14,0,38.28,0,
1031,1,13,4,1,1,,,19.91,0,39.82,0,
1031,1,14,1,1,2,,,22.55,0,45.1,0,
1031,1,15,1,1,3,,,25.06,0,50.13,0,
1031,1,16,1,1,4,,,26.46,0,52.92,0,99.61
1031,1,17,6,3,6,,,28.46,0,56.92,0,99.61
1031,1,18,8,5,8,,,30.34,0,60.68,0,
1031,1,19,5,2,5,,,31.35,0,62.7,0,
1031,1,20,3,2,5,,,33,0,65.99,0,
1031,1,21,3,2,5,,,34.64,0,69.28,0,
1031,1,22,3,2,5,,,36.04,0,72.07,0,
1031,1,23,7,4,7,,,37.92,0,75.85,0,
1031,1,24,8,5,8,,,39.19,0,78.37,0,
1031,1,25,4,1,1,,,39.83,0,79.66,0,
1031,1,26,1,1,2,,,42.47,0,84.93,0,
1031,1,27,2,1,3,,,44.73,0,89.46,0,
1031,1,28,2,1,4,,,47.37,0,94.74,0,50
1031,1,29,6,3,6,,,49.26,0,98.51,0,50
1031,1,30,8,5,8,,,51.14,0,102.27,0,
1031,1,31,4,1,1,,,51.78,0,103.56,0,
1031,1,32,2,1,2,,,53.17,0,106.35,0,
1031,1,33,1,1,3,,,55.56,0,111.12,0,
1031,1,34,1,1,4,,,57.83,0,115.65,0,94.12
1031,1,35,6,3,6,,,59.71,0,119.43,0,94.12
1031,1,36,8,5,8,,,62.09,0,124.19,0,
1031,1,37,5,2,5,,,62.74,0,125.47,0,
1031,1,38,3,2,5,,,64.75,0,129.5,0,
1031,1,39,3,2,5,,,67.14,0,134.28,0,
1031,1,40,3,2,5,,,69.03,0,138.05,0,
1031,1,41,7,4,7,,,71.03,0,142.06,0,
1031,1,42,8,5,8,,,73.41,0,146.82,0,
1031,1,43,4,1,1,,,74.18,0,148.36,0,
1031,1,44,1,1,2,,,76.32,0,152.63,0,
1031,1,45,1,1,3,,,78.2,0,156.41,0,
1031,1,46,1,1,4,,,80.34,0,160.68,0,99.61
1031,1,47,6,3,6,,,81.48,0,162.95,0,99.61
1031,1,48,8,5,8,,,83.86,0,167.71,0,
1031,1,49,4,1,1,,,84.38,0,168.75,0,
1031,1,50,1,1,2,,,87.01,0,174.03,0,
1031,1,51,1,1,3,,,88.78,0,177.55,0,
1031,1,52,2,1,4,,,91.16,0,182.33,0,94.12
1031,1,53,6,3,6,,,93.04,0,186.09,0,94.12
1031,1,54,8,5,8,,,95.17,0,190.35,0,
1031,1,55,4,1,1,,,95.94,0,191.88,0,
1031,1,56,2,1,2,,,98.08,0,196.16,0,
1031,1,57,1,1,3,,,100.47,0,200.94,0,
1031,1,58,2,1,4,,,101.99,0,203.98,0,50
1031,1,59,6,3,6,,,103.25,0,206.5,0,50
1031,1,60,8,5,8,,,104.63,0,209.26,0,
1031,1,61,5,2,5,,,105.27,0,210.54,0,
1031,1,62,3,2,5,,,106.67,0,213.33,0,
1031,1,63,3,2,5,,,109.05,0,218.11,0,
1031,1,64,3,2,5,,,111.32,0,222.63,0,
1031,1,65,7,4,7,,,113.45,0,226.89,0,
1031,1,66,8,5,8,,,114.58,0,229.16,0,
1031,1,67,4,1,1,,,115.23,0,230.45,0,
1031,1,68,1,1,2,,,116.75,0,233.49,0,
1031,1,69,1,1,3,,,118.76,0,237.52,0,
1031,1,70,1,1,4,,,120.4,0,240.81,0,99.61
1031,1,71,6,3,6,,,121.79,0,243.58,0,99.61
1031,1,72,8,5,8,,,122.93,0,245.85,0,
1031,2,1,5,2,5,,,0.26,0,0.52,0,
1031,2,2,3,2,5,,,1.65,0,3.31,0,
1031,2,3,3,2,5,,,3.54,0,7.08,0,
1031,2,4,3,2,5,,,5.68,0,11.36,0,100
1031,2,5,7,4,7,,,8.06,0,16.12,0,100
1031,2,6,8,5,8,,,9.69,0,19.38,0,
1031,2,7,4,1,1,,,10.21,0,20.41,0,
1031,2,8,1,1,2,,,12.09,0,24.19,0,
1031,2,9,2,1,3,,,14.48,0,28.96,0,
1031,2,10,1,1,4,,,16.49,0,32.99,0,94.12
1031,2,11,6,3,6,,,18.13,0,36.26,0,94.12
1031,2,12,8,5,8,,,20.39,0,40.77,0,
1031,2,13,4,1,1,,,21.15,0,42.31,0,
1031,2,14,1,1,2,,,23.54,0,47.09,0,
1031,2,15,1,1,3,,,25.68,0,51.36,0,
1031,2,16,1,1,4,,,27.57,0,55.14,0,99.61
1031,2,17,6,3,6,,,29.95,0,59.9,0,99.61
1031,2,18,8,5,8,,,32.08,0,64.16,0,
1031,2,19,4,1,1,,,33.1,0,66.19,0,
1031,2,20,1,1,2,,,34.98,0,69.97,0,
1031,2,21,1,1,3,,,36.63,0,73.26,0,
1031,2,22,1,1,4,,,38.27,0,76.55,0,99.61
1031,2,23,6,3,6,,,39.91,0,79.82,0,99.61
1031,2,24,8,5,8,,,41.29,0,82.58,0,
1031,2,25,5,2,5,,,42.18,0,84.37,0,
1031,2,26,3,2,5,,,44.32,0,88.64,0,
1031,2,27,3,2,5,,,45.97,0,91.93,0,
1031,2,28,3,2,5,,,47.98,0,95.96,0,
1031,2,29,7,4,7,,,49.86,0,99.72,0,
1031,2,30,8,5,8,,,51.61,0,103.22,0,
1031,2,31,4,1,1,,,52.38,0,104.76,0,
1031,2,32,2,1,2,,,54.89,0,109.79,0,
1031,2,33,1,1,3,,,56.91,0,113.81,0,
